Job ID,Predicted Time,Actual Time,Time Difference
3548032,2018-07-10 11:30:01,2018-07-10 10:16:22,1:13:39,
3546220,2018-07-10 11:30:01,None,None,
3539271,2018-07-11 20:00:00,None,None,
3546216,2018-07-10 11:30:01,None,None,
3543931,2018-07-10 15:57:04,None,None,
3486788,2018-07-11 20:00:00,None,None,
3539243,2018-07-11 20:00:00,None,None,
3435193,2018-07-10 16:28:31,None,None,
3546215,2018-07-10 11:30:01,None,None,
3548053,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3548054,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3548041,2018-07-10 11:30:01,2018-07-10 10:18:24,1:11:37,
3478829,2018-07-11 20:00:00,None,None,
3539231,2018-07-11 20:00:00,None,None,
3542576,2018-07-11 20:00:00,None,None,
3434550,2018-07-11 20:00:00,None,None,
3548063,2018-07-10 11:30:01,2018-07-10 10:26:38,1:03:23,
3539261,2018-07-11 20:00:00,None,None,
3364615,2018-07-10 15:57:04,None,None,
3543778,2018-07-11 01:10:09,None,None,
3486827,2018-07-11 20:00:00,None,None,
3539253,2018-07-11 20:00:00,None,None,
3539268,2018-07-11 20:00:00,None,None,
3539262,2018-07-11 20:00:00,None,None,
3486781,2018-07-10 11:30:01,None,None,
3511355,2018-07-11 20:00:00,None,None,
3542459,2018-07-11 01:10:05,None,None,
3548050,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3486836,2018-07-11 20:00:00,None,None,
3535135,2018-07-11 11:34:26,None,None,
3546201,2018-07-10 11:30:01,2018-07-10 10:28:41,1:01:20,
3539026,2018-07-11 20:00:00,None,None,
3480335,2018-07-11 20:00:00,None,None,
3486837,2018-07-11 20:00:00,None,None,
3539267,2018-07-11 20:00:00,None,None,
3546213,2018-07-10 11:30:01,None,None,
3539280,2018-07-11 20:00:00,None,None,
3535129,2018-07-11 06:55:25,None,None,
3481476,2018-07-11 20:00:00,None,None,
3547770_[1-20],2018-07-10 15:59:11,None,None,
3542575,2018-07-11 20:00:00,None,None,
3539256,2018-07-11 20:00:00,None,None,
3539237,2018-07-11 20:00:00,None,None,
3548055,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3547501,2018-07-11 03:35:18,None,None,
3546208,2018-07-10 11:30:01,None,None,
3543837,2018-07-10 15:57:04,None,None,
3542849,2018-07-11 20:00:00,None,None,
3546207,2018-07-10 11:30:01,None,None,
3543771,2018-07-11 01:10:09,None,None,
3486686,2018-07-10 11:30:01,None,None,
3543840,2018-07-10 15:57:04,None,None,
3543507,2018-07-11 20:00:00,None,None,
3539255,2018-07-11 20:00:00,None,None,
3542785,2018-07-11 20:00:00,None,None,
3543772,2018-07-11 01:10:09,None,None,
3539241,2018-07-11 20:00:00,None,None,
3543926,2018-07-10 15:57:04,None,None,
3435152,2018-07-11 20:00:00,None,None,
3548035,2018-07-10 11:30:01,2018-07-10 10:16:22,1:13:39,
3543720,2018-07-11 20:00:00,None,None,
3539234,2018-07-11 20:00:00,None,None,
3539275,2018-07-11 20:00:00,None,None,
3543324,2018-07-11 20:00:00,None,None,
3548145,2018-07-10 11:30:01,None,None,
3546221,2018-07-10 11:30:01,None,None,
3486775,2018-07-10 11:30:01,None,None,
3548044,2018-07-10 11:30:01,2018-07-10 10:20:29,1:09:32,
3548131,2018-07-10 11:30:01,None,None,
3547959,2018-07-11 20:00:00,None,None,
3535127,2018-07-10 18:18:25,None,None,
3539277,2018-07-11 20:00:00,None,None,
